,var,;,id,",",(,),{,},=,inc,dec,if,elif,else,loop,break,return,or,and,==,!=,<,<=,>,>=,+,-,*,/,%,not,[,],lit-bool,lit-int,lit-char,lit-str,$
79,,r81,,,,,,,,,,,,,,,,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,,,,,,,,,
80,,r82,,,,,,,,,,,,,,,,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,,,,,,,,,
81,,r83,,,,,,,,,,,,,,,,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,,,,,,,,,
82,r6,r6,r6,,,,,r6,,r6,r6,r6,,,r6,r6,r6,,,,,,,,,,,,,,,,,,,,,r6,
83,,s170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,s171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,s173,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,r45,,r45,,,,,,,,,,,,s174,,,,,,,,,,,,,,,,,,,,,
87,,,,r47,,r47,,,,,,,,,,,,r47,s175,,,,,,,,,,,,,,,,,,,,
88,,,,r49,,r49,,,,,,,,,,,,r49,r49,s132,s133,,,,,,,,,,,,,,,,,,
89,,,,r51,,r51,,,,,,,,,,,,r51,r51,r51,r51,s135,s136,s137,s138,,,,,,,,,,,,,,
90,,,,r55,,r55,,,,,,,,,,,,r55,r55,r55,r55,r55,r55,r55,r55,s140,s141,,,,,,,,,,,,
91,,,,r61,,r61,,,,,,,,,,,,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,s143,s144,s145,,,,,,,,,
92,,,,r65,,r65,,,,,,,,,,,,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,,,,,,,,,
93,,,s95,,s99,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s100,,s101,s102,s103,s104,,
94,,,,r70,,r70,,,,,,,,,,,,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,,,,,,,,,
